id,country,code,zone,rate
274,AUSTRALIA ,614884,2,35
275,AUSTRALIA ,614885,2,35
276,AUSTRALIA ,614886,2,35
277,AUSTRALIA ,614887,2,35
278,AUSTRALIA ,614889,2,35
279,AUSTRALIA ,61404,2,35
280,AUSTRALIA ,61405,2,35
281,AUSTRALIA ,61406,2,35
282,AUSTRALIA ,61410,2,35
283,AUSTRALIA ,61414,2,35
284,AUSTRALIA ,61415,2,35
285,AUSTRALIA ,61416,2,35
286,AUSTRALIA ,61424,2,35
287,AUSTRALIA ,61426,2,35
288,AUSTRALIA ,61449,2,35
289,AUSTRALIA ,61450,2,35
290,AUSTRALIA ,61451,2,35
291,AUSTRALIA ,61452,2,35
292,AUSTRALIA ,61453,2,35
293,AUSTRALIA ,614202,2,35
294,AUSTRALIA ,614203,2,35
295,AUSTRALIA ,614204,2,35
296,AUSTRALIA ,614205,2,35
297,AUSTRALIA ,614206,2,35
298,AUSTRALIA ,614207,2,35
299,AUSTRALIA ,614208,2,35
300,AUSTRALIA ,614209,2,35
301,AUSTRALIA ,61469,2,35
302,AUSTRALIA ,61470,2,35
303,AUSTRALIA ,6186,2,35
304,AUSTRALIA ,61892,2,35
305,AUSTRALIA ,61893,2,35
306,AUSTRALIA ,61894,2,35
307,AUSTRALIA ,61,2,35
308,AUSTRALIA ,6128,2,35
309,AUSTRALIA ,6129,2,35
310,AUSTRIA ,43660,7,130
311,AUSTRIA ,4367833,7,130
312,AUSTRIA ,4367890,7,130
313,AUSTRIA ,4367891,7,130
314,AUSTRIA ,43644,7,130
315,AUSTRIA ,43664,7,130
316,AUSTRIA ,43680,7,130
317,AUSTRIA ,43688,7,130
318,AUSTRIA ,4369988,7,130
319,AUSTRIA ,4369989,7,130
320,AUSTRIA ,43681,7,130
321,AUSTRIA ,436990,7,130
322,AUSTRIA ,436991,7,130
323,AUSTRIA ,436992,7,130
324,AUSTRIA ,436993,7,130
325,AUSTRIA ,436994,7,130
326,AUSTRIA ,436995,7,130
327,AUSTRIA ,436996,7,130
328,AUSTRIA ,436997,7,130
329,AUSTRIA ,436999,7,130
330,AUSTRIA ,4369980,7,130
331,AUSTRIA ,4369981,7,130
332,AUSTRIA ,4369982,7,130
333,AUSTRIA ,4369983,7,130
334,AUSTRIA ,4369984,7,130
335,AUSTRIA ,4369985,7,130
336,AUSTRIA ,4369986,7,130
337,AUSTRIA ,4369987,7,130
338,AUSTRIA ,43650,7,130
339,AUSTRIA ,43676,7,130
340,AUSTRIA ,43677,7,130
341,AUSTRIA ,4368864,7,130
342,AUSTRIA ,43,7,130
343,AUSTRIA ,431,7,130
344,AZERBAIJAN ,99412,8,150
345,AZERBAIJAN ,99488,8,150
346,AZERBAIJAN ,99450,8,150
347,AZERBAIJAN ,99451,8,150
348,AZERBAIJAN ,99455,8,150
349,AZERBAIJAN ,99440,8,150
350,AZERBAIJAN ,99444,8,150
351,AZERBAIJAN ,99460,8,150
352,AZERBAIJAN ,99470,8,150
353,AZERBAIJAN ,99477,8,150
354,AZERBAIJAN ,994,8,150
355,BAHAMAS ,124247,6,110
356,BAHAMAS ,1242357,6,110
357,BAHAMAS ,1242359,6,110
358,BAHAMAS ,1242375,6,110
359,BAHAMAS ,1242395,6,110
360,BAHAMAS ,1242421,6,110
361,BAHAMAS ,1242422,6,110
362,BAHAMAS ,1242423,6,110
363,BAHAMAS ,1242424,6,110
364,BAHAMAS ,1242425,6,110
365,BAHAMAS ,1242426,6,110
366,BAHAMAS ,1242427,6,110
367,BAHAMAS ,1242428,6,110
368,BAHAMAS ,1242429,6,110
369,BAHAMAS ,1242431,6,110
370,BAHAMAS ,1242432,6,110
371,BAHAMAS ,1242433,6,110
372,BAHAMAS ,1242434,6,110
373,BAHAMAS ,1242435,6,110
374,BAHAMAS ,1242436,6,110
375,BAHAMAS ,1242437,6,110
376,BAHAMAS ,1242438,6,110
377,BAHAMAS ,1242439,6,110
378,BAHAMAS ,1242441,6,110
379,BAHAMAS ,1242442,6,110
380,BAHAMAS ,1242443,6,110
381,BAHAMAS ,1242445,6,110
382,BAHAMAS ,1242446,6,110
383,BAHAMAS ,1242447,6,110
384,BAHAMAS ,1242448,6,110
385,BAHAMAS ,1242449,6,110
386,BAHAMAS ,1242451,6,110
387,BAHAMAS ,1242452,6,110
388,BAHAMAS ,1242453,6,110
389,BAHAMAS ,1242454,6,110
390,BAHAMAS ,1242455,6,110
391,BAHAMAS ,1242456,6,110
392,BAHAMAS ,1242457,6,110
393,BAHAMAS ,1242458,6,110
394,BAHAMAS ,1242462,6,110
395,BAHAMAS ,1242463,6,110
396,BAHAMAS ,1242464,6,110
397,BAHAMAS ,1242465,6,110
398,BAHAMAS ,1242466,6,110
399,BAHAMAS ,1242467,6,110
400,BAHAMAS ,1242468,6,110
401,BAHAMAS ,1242481,6,110
402,BAHAMAS ,1242524,6,110
403,BAHAMAS ,1242525,6,110
404,BAHAMAS ,1242533,6,110
405,BAHAMAS ,1242535,6,110
406,BAHAMAS ,1242544,6,110
407,BAHAMAS ,1242551,6,110
408,BAHAMAS ,1242552,6,110
409,BAHAMAS ,1242553,6,110
410,BAHAMAS ,1242554,6,110
411,BAHAMAS ,1242556,6,110
412,BAHAMAS ,1242557,6,110
413,BAHAMAS ,1242558,6,110
414,BAHAMAS ,1242559,6,110
415,BAHAMAS ,1242565,6,110
416,BAHAMAS ,1242577,6,110
417,BAHAMAS ,1242636,6,110
418,BAHAMAS ,1242646,6,110
419,BAHAMAS ,1242727,6,110
420,BAHAMAS ,1242,6,110
421,BAHRAIN ,97339,5,75
422,BAHRAIN ,973322,5,75
423,BAHRAIN ,973383,5,75
424,BAHRAIN ,973384,5,75
425,BAHRAIN ,973388,5,75
426,BAHRAIN ,97336,5,75
427,BAHRAIN ,97366,5,75
428,BAHRAIN ,973136,5,75
429,BAHRAIN ,973377,5,75
430,BAHRAIN ,97333,5,75
431,BAHRAIN ,973340,5,75
432,BAHRAIN ,973341,5,75
433,BAHRAIN ,973342,5,75
434,BAHRAIN ,973343,5,75
435,BAHRAIN ,973344,5,75
436,BAHRAIN ,973345,5,75
437,BAHRAIN ,97377,5,75
438,BAHRAIN ,973,5,75
439,BANGLADESH ,88031,2,35
440,BANGLADESH ,8802,2,35
441,BANGLADESH ,88017,2,35
442,BANGLADESH ,8801,2,35
443,BANGLADESH ,880,2,35
444,BANGLADESH ,880821,2,35
445,BARBADOS ,124626,7,130
446,BARBADOS ,124682,7,130
447,BARBADOS ,124683,7,130
448,BARBADOS ,1246256,7,130
449,BARBADOS ,1246257,7,130
450,BARBADOS ,1246258,7,130
451,BARBADOS ,1246259,7,130
452,BARBADOS ,124623,7,130
453,BARBADOS ,124624,7,130
454,BARBADOS ,1246250,7,130
455,BARBADOS ,1246251,7,130
456,BARBADOS ,1246252,7,130
457,BARBADOS ,1246253,7,130
458,BARBADOS ,1246254,7,130
459,BARBADOS ,1246255,7,130
460,BARBADOS ,1246,7,130
461,BELARUS ,375172,9,200
462,BELARUS ,375173,9,200
463,BELARUS ,375175,9,200
464,BELARUS ,37533,9,200
465,BELARUS ,375292,9,200
466,BELARUS ,375295,9,200
467,BELARUS ,375297,9,200
468,BELARUS ,375298,9,200
469,BELARUS ,37525,9,200
470,BELARUS ,375290,9,200
471,BELARUS ,375294,9,200
472,BELARUS ,37544,9,200
473,BELARUS ,375291,9,200
474,BELARUS ,375293,9,200
475,BELARUS ,375296,9,200
476,BELARUS ,375299,9,200
477,BELARUS ,375602,9,200
478,BELARUS ,375,9,200
479,BELGIUM ,3248,9,200
480,BELGIUM ,32770002,9,200
481,BELGIUM ,32465,9,200
482,BELGIUM ,324660,9,200
483,BELGIUM ,324661,9,200
484,BELGIUM ,324662,9,200
485,BELGIUM ,324663,9,200
486,BELGIUM ,324664,9,200
487,BELGIUM ,324920,9,200
488,BELGIUM ,324921,9,200
489,BELGIUM ,324922,9,200
490,BELGIUM ,324923,9,200
491,BELGIUM ,324924,9,200
492,BELGIUM ,324925,9,200
493,BELGIUM ,324932,9,200
494,BELGIUM ,324933,9,200
495,BELGIUM ,324934,9,200
496,BELGIUM ,324938,9,200
497,BELGIUM ,324939,9,200
498,BELGIUM ,324998,9,200
499,BELGIUM ,324999,9,200
500,BELGIUM ,3249,9,200
501,BELGIUM ,32770005,9,200
502,BELGIUM ,324630,9,200
503,BELGIUM ,324665,9,200
504,BELGIUM ,324666,9,200
505,BELGIUM ,324667,9,200
506,BELGIUM ,324669,9,200
507,BELGIUM ,3247,9,200
508,BELGIUM ,32460,9,200
509,BELGIUM ,32770001,9,200
510,BELGIUM ,324681,9,200
511,BELGIUM ,324682,9,200
512,BELGIUM ,324683,9,200
513,BELGIUM ,32702,9,200
514,BELGIUM ,32703,9,200
515,BELGIUM ,32704,9,200
516,BELGIUM ,32706,9,200
517,BELGIUM ,32707,9,200
518,BELGIUM ,32,9,200
519,BELIZE ,5016,9,200
520,BELIZE ,501,9,200
521,BENIN ,22992,9,170
